Unnamed: 0,pChEMBL Value,Canonical,Predict_ann,Proba_ann,Predict_ml,Proba_ml,Predict_GNN,Proba_gnn,Proba_3_model,Predict_3_model,AD
1026,,O=C1OC(CCCN2CCCCC2)(c2ccccc2)CC12CCCC2,0,2.83,1,75.46227,0,47.898,42.06342508951823,1,In
1031,,O=CC1C(Cl)=Nc2nc3ccccc3n2C1c1ccccc1,0,29.27,1,66.696495,0,20.068666,38.67838653564453,1,In
1036,,CCOC(=O)N1N(c2ccccc2)C(=O)C1(c1ccccc1)c1ccccc1,0,6.82,1,63.523792,0,36.588665,35.64415242513021,1,In
1053,,O=C1NC2(CCN(CCc3ccccc3)CC2)Oc2ccccc21,0,7.13,0,8.025744,0,34.373005,16.509583435058595,0,In
1055,,Cc1nn(C(=O)c2ccncc2)c2c1C(c1ccc(Cl)cc1)SC(=N)N2,1,52.32,0,25.974566,0,15.337001,31.210521799723303,1,In
1065,,CC12CCC3(OCCO3)C(OC(=O)c3ccccc3)=C1CCC21OCCO1,0,2.57,1,72.28641,0,32.109337,35.655248107910154,1,In
1073,,C=C1[C@@](C)([C@@H]2CCCS2)[C@H]2C(C)=C[C@]1(C)n1c(=O)n(-c3ccccc3)c(=O)n12,0,7.75,0,20.509073,1,51.174,26.477691650390625,1,In
1078,,Cc1ccc(C2SC(=N)Nc3c2c(C)nn3C(=O)c2ccncc2)cc1,0,3.89,0,19.69243,0,4.9120007,9.498143717447917,0,In
1106,,Cc1ccc(NC2=CC(=O)C(NO)c3ccccc32)cc1,0,46.44,1,85.92786,0,22.175335,51.514398396809895,1,In
1113,,CC(=O)c1c2c(cc3c1CC1(Cc4cc5c(cc4C1)CCC5)C3)CCC2,1,51.98,1,81.8687,1,54.73134,62.86001220703125,3,In
1126,,CCOc1ccc(C2=NN(CC)C(=O)C(C3C(=O)N(c4ccccc4)N=C3C)C2)cc1,0,11.86,1,84.01287,0,46.242996,47.371953125000005,1,In
1148,,COc1cccc(C2CC(C)(O)Oc3cc4c(cc32)OCO4)c1O,0,1.47,0,2.0358114,0,17.465666,6.990492095947265,0,In
1151,,COc1cc2c(cc1C1COc3cc4occc4cc3C1=O)OCO2,0,2.29,1,72.15864,0,11.640335,28.696324361165367,1,In
1168,,O=C1CCC2(CC1)Cc1ccccc1C2O,0,5.65,1,75.46227,0,46.482,42.53142496744792,1,In
