,Canonical,Molecule ChEMBL ID,pChEMBL Value,pChEMBL Value.1,logp,mw,tpsa,n_hba,n_hbd,ro5,pfizer_rule_passed,gsk_rule_passed,goldentriangle_rule_passed,qed,sascore,sascore.1,mce18,npscore,qed_passed,sascore_passed,fsp3_passed,mce18_passed,pains_Disposed,pains_MatchedAtoms,pains_MatchedNames,alarmnmr_Disposed,alarmnmr_MatchedAtoms,alarmnmr_MatchedNames,bms_Disposed,bms_MatchedAtoms,bms_MatchedNames,chelator_Disposed,chelator_MatchedAtoms,chelator_MatchedNames
92467,COC(=O)c1cc(C)ccc1C1CN=NC12Cc1ccc(C)cc1C2=O,CHEMBL2001005,,,3.817240000000002,348.1473925,68.09,5,0,5,False,True,True,0.7749562478925079,3.96278896575882,0.3333333333333333,102.85714285714286,0.2529013657042191,True,True,False,True,Accepted,['-'],['-'],Rejected,"[((17, 18, 19, 20, 22, 23, 24, 25, 15),)]",['c1ccc2C(=O)CCCc2c1'],Accepted,['-'],['-'],Accepted,['-'],['-']
92468,Oc1cccc(C2SCc3nc4ccccc4n32)c1,CHEMBL1994632,,,3.5356000000000023,268.067034004,38.05,4,1,5,False,True,True,0.7333240539202236,2.895232234224096,0.1333333333333333,61.47058823529412,-0.6548380803272947,True,True,False,True,Accepted,['-'],['-'],Rejected,"[((0, 1, 2, 3, 4, 5, 18),), ((6, 7, 8),)]","['c1ccccc1O', 'CSC']",Accepted,['-'],['-'],Accepted,['-'],['-']
92471,COc1cc(OC)c(C2c3cc4c(cc3OC(N3CCOCC3)C2C)OCO4)c(OC)c1,CHEMBL1971738,,,3.259800000000002,443.1944022679999,67.85000000000001,8,0,5,False,False,True,0.6977782839328464,3.7924994895858246,0.5,93.0,0.4865614203051688,True,True,True,True,Accepted,['-'],['-'],Rejected,"[((1, 2, 3, 4, 7, 28, 31), (5, 4, 3, 2, 31, 28, 7), (29, 28, 7, 4, 3, 2, 31))]",['c1ccccc1O'],Accepted,['-'],['-'],Accepted,['-'],['-']
92481,CC(C)C1=CC(=O)C(C)(C2=NC(C)(C)CO2)c2ccccc21,CHEMBL1971466,,,3.7737000000000034,297.17287897600005,38.66,3,0,5,False,True,True,0.8331034785976795,3.669261043490732,0.4736842105263157,67.5,0.948143511713932,True,True,True,True,Accepted,['-'],['-'],Rejected,"[((3, 4, 5, 6, 7),)]",['C=CC(=O)C'],Accepted,['-'],['-'],Accepted,['-'],['-']
92491,COc1cc(O)c2c(c1)OCC(Cc1ccc(O)cc1)C2=O,CHEMBL1969778,,,2.5404,300.099773612,75.99000000000001,5,2,5,True,True,True,0.9107162162223472,2.840723202299664,0.2352941176470588,54.238095238095234,1.5141029507756,True,True,False,True,Accepted,['-'],['-'],Rejected,"[((4, 3, 2, 8, 7, 6, 20, 21, 11),), ((17, 16, 15, 14, 13, 19, 18),)]","['c1ccc2C(=O)CCCc2c1', 'c1ccccc1O']",Accepted,['-'],['-'],Accepted,['-'],['-']
92494,COc1cc2c(cc1OC)[C@H](O)[C@H](Br)C(C)(C)O2,CHEMBL2374591,,,2.6717000000000004,316.031021124,47.92,4,1,5,True,True,True,0.852159396153173,3.272968894065293,0.5384615384615384,49.5,1.9695797479158,True,True,True,True,Accepted,['-'],['-'],Rejected,"[((12, 13),)]",['CBr'],Rejected,"[((12, 13),)]",['secondary_halide_sulfate'],Accepted,['-'],['-']
92495,C/N=C1\CC2c3cc(OC)c(OC)cc3CCN2C2=C1C(=O)CC(C)(C)C2.Cl,CHEMBL1989609,,,4.1425000000000045,404.186670468,51.13,5,0,5,False,False,True,0.7427740378855862,3.5495820730718988,0.5454545454545454,78.47058823529412,0.4086638074726821,True,True,True,True,Accepted,['-'],['-'],Rejected,"[((18, 19, 20, 21, 22),)]",['C=CC(=O)C'],Rejected,"[((56, 27),)]",['halogen_heteroatom'],Accepted,['-'],['-']
92513,CC(C)c1ccc(C2NC(S)=NC3=C2c2ccccc2C3=O)cc1,CHEMBL1969884,,,4.347700000000003,334.11398419599993,41.46,3,2,5,False,False,True,0.8019296114620071,3.1946440197057573,0.2,67.83333333333334,-0.2801171092828541,True,True,False,True,Accepted,['-'],['-'],Rejected,"[((11, 9, 10),), ((14, 15, 16, 17, 18, 19, 20, 21, 12),), ((13, 12, 20, 21, 19),)]","['CC(=S)N', 'c1ccc2C(=O)CCCc2c1', 'C=CC(=O)C']",Accepted,['-'],['-'],Accepted,['-'],['-']
92516,O=P1(O)c2ccccc2Nc2cc(C(F)(F)F)ccc21,CHEMBL1972198,,,2.983600000000001,299.03229981800007,49.33,2,2,5,True,True,True,0.7352844944433942,3.4460141110660416,0.0769230769230769,60.0,-0.4922603279739649,True,True,False,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
92538,CC(C)Oc1ccc2c(c1)OCC1Cc3ccccc3OC21,CHEMBL1967696,,,4.158600000000003,296.1412445,27.69,3,0,5,False,False,True,0.832612011789021,3.1205828348755205,0.3684210526315789,66.15384615384615,0.5874555883107183,True,True,False,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
